,title,year,rating,dubious,imdbid,id
1120,Goldfinger,1964,1,0,58150,3807
1121,Dead Ringer,1964,3,0,57997,4263
1122,"Umbrellas of Cherbourg, The",1964,3,0,58450,4356
1123,"Last Man on Earth, The",1964,1,0,58700,4376
1124,Code Name: Tiger,1964,3,0,58658,4484
1125,"Train, The",1964,1,0,59825,4497
1126,"Ghidorah, the Three-Headed Monster",1964,3,0,58544,4501
1127,Carry On Cleo,1964,1,0,57918,4673
1128,"Unsinkable Molly Brown, The",1964,3,0,58708,5513
1129,Red Desert,1964,3,0,58003,6112
1130,Godzilla vs. The Thing (Mothra vs. Godzilla),1964,1,1,58379,6326
1131,Marnie,1964,3,0,58329,6402
1132,A shot in the dark,1964,1,0,58586,6555
1133,"Chalk Garden, The",1964,3,0,57933,7202
1134,Nikutai no mon [Gate of Flesh],1964,3,0,58409,7236
1135,La tia Tula,1964,3,0,58695,7399
1136,Seduced and abandoned,1964,3,0,58564,7804
1137,"Time Travelers, The",1964,2,0,58659,7991
1138,Old Shatterhand,1964,1,0,57380,9689
1139,Winnetou: The Red Gentleman,1964,1,0,58751,9692
1140,Amongst Vultures,1964,0,0,58709,9695
1141,"Yellow One, The",1964,1,0,58553,9697
1142,"Sound of Music, The",1965,3,0,59742,601
1143,Gulliver&#39;s Travels Beyond the Moon,1965,0,0,59212,2075
1144,Juliet of the Spirits,1965,3,1,59229,2186
1145,Repulsion,1965,3,0,59646,2338
1146,A Study in Terror,1965,3,1,59764,2389
1147,Thunderball,1965,2,0,59800,2390
1148,That Darn Cat!,1965,3,0,59793,2487
1149,"Ipcress File, The",1965,1,0,59319,2569
1150,Alphaville,1965,1,0,58898,3116
1151,For a Few Dollars More,1965,0,0,59578,3413
1152,"Flight of the Phoenix, The",1965,0,0,59183,3432
1153,Viva Maria!,1965,3,0,59956,3475
1154,Inside Daisy Clover,1965,3,0,59314,3543
1155,Darling,1965,3,0,59084,3623
1156,"Faster, Pussycat! Kill! Kill!",1965,3,0,59170,3649
1157,"Pleasure Girls, The",1965,3,0,59607,3828
1158,Doctor Zhivago,1965,1,0,59113,5884
1159,Bunny Lake Is Missing,1965,3,0,58997,5960
1160,Invasion of Astro-Monster,1965,2,0,59346,6346
1161,Daikaiju Gamera,1965,2,0,59080,6428
1162,Frankenstein Conquers the World,1965,1,0,59205,6652
1163,Kapurush,1965,0,0,59348,6899
1164,Devils of Darkness,1965,3,0,59100,7109
1165,Mne dvadtsat let (I am twenty),1965,3,0,58361,8189
1166,How to Murder Your Wife,1965,0,0,58212,8204
1167,A Patch of Blue,1965,3,0,59573,8694
1168,"Railrodder, The",1965,0,0,59631,9157
1169,"Oil Prince, The",1965,1,0,59958,9687
1170,Winnetou: The Last Shot,1965,0,0,59915,9691
1171,Old Surehand,1965,1,0,59538,9696
1172,Pyramid of the Sun God,1965,1,0,59621,9698
1173,Treasure of the Aztecs,1965,1,0,59682,9699
1174,Red Beard,1965,3,0,58888,9820
1175,"Knack... and How to Get It, The",1965,0,0,59362,10001
1176,Persona,1966,3,0,60827,589
1177,La battaglia di Algeri,1966,1,0,58946,658
1178,"Good, the Bad and the Ugly, The",1966,1,0,60196,1725
1179,Daisies,1966,3,0,60959,2069
1180,Alfie,1966,1,0,60086,2140
1181,End of August at the Hotel Ozone,1966,3,0,61879,2308
1182,"Trouble with Angels, The",1966,3,0,61122,2582
1183,Fantastic Voyage,1966,0,0,60397,2625
1184,Blow-Up,1966,0,0,60176,2626
1185,A Big Hand for the Little Lady,1966,1,0,60165,2696
1186,"Group, The",1966,3,0,60479,2701
1187,Who&#39;s Afraid of Virginia Woolf?,1966,1,0,61184,2798
1188,Jesse James Meets Frankenstein&#39;s Daughter,1966,1,0,60558,2804
1189,"Fortune Cookie, The",1966,1,0,60424,2838
1190,Our Man Flint,1966,2,0,59557,2845
1191,Cathy Come Home,1966,3,0,59020,2855
1192,Fahrenheit 451,1966,3,0,60390,3087
1193,"Sand Pebbles, The",1966,1,0,60934,3092
1194,Georgy Girl,1966,3,1,60453,3143
1195,A Man for All Seasons,1966,1,0,60665,3576
1196,Django,1966,0,0,60315,3671
1197,Andrei Rublev,1966,1,0,60107,3706
1198,Blood Bath,1966,2,0,60174,4057
1199,L&#39;armata Brancaleone,1966,1,0,60125,4575
1200,How to Steal a Million,1966,0,0,60522,4862
1201,Torn Curtain,1966,3,1,61107,5391
1202,"Godzilla vs. the Sea Monster (Ebirah, Horror of the Deep)",1966,1,0,60464,6362
1203,Daimajin,1966,1,0,62851,6433
1204,Return of Daimajin,1966,0,0,62852,6471
1205,Wrath of Daimajin,1966,0,0,62853,6541
1206,Daikaiju ketto: Gamera tai Barugon,1966,0,0,60446,6659
1207,Black Girl,1966,3,0,60758,6897
1208,Death Rides a Horse,1966,0,0,64208,6910
1209,One Million Years B.C.,1966,1,0,60782,7021
1210,"Plague of the Zombies, The",1966,3,1,60841,7030
1211,Dracula: Prince of Darkness,1966,1,0,59127,7033
1212,Tokyo Drifter,1966,1,0,61101,7239
1213,La caza,1966,0,0,60223,7415
1214,Manos: The Hands of Fate,1966,3,1,60666,9419
1215,Lost Command,1966,1,0,60637,9426
1216,"Who Are You, Polly Maggoo?",1966,1,0,60879,9468
1217,El Dorado,1966,1,0,61619,9577
1218,Winnetou and the Crossbreed,1966,1,0,61197,9688
1219,Winnetou und sein Freund Old Firehand,1966,1,0,61198,9694
1220,Saraswathi Sabatham,1966,2,0,246913,9956
1221,Cool Hand Luke,1967,1,,61512,301
1222,"Jungle Book, The",1967,1,0,61852,493
1223,"Graduate, The",1967,2,0,61722,616
1224,Marketa Lazarova,1967,1,0,63278,2054
1225,Bonnie and Clyde,1967,3,0,61418,2083
1226,You Only Live Twice,1967,1,0,62512,2400
1227,Thoroughly Modern Millie,1967,3,0,62362,2431
1228,Casino Royale,1967,2,0,61452,2664
1229,I Am Curious (Yellow),1967,3,0,61834,2829
1230,Elvira Madigan,1967,0,0,61620,2928
1231,"Dirty Dozen, The",1967,0,1,61578,2966
1232,Valley of the Dolls,1967,3,0,62430,3070
1233,Belle de Jour,1967,3,0,61395,3085
1234,In the Heat of the Night,1967,1,0,61811,3241
1235,Bedazzled,1967,3,0,61391,3500
1236,Two for the Road,1967,3,0,62407,3596
1237,Wait Until Dark,1967,3,0,62467,3597
1238,Berserk,1967,3,0,61398,3712
1239,"Fearless Vampire Killers, The",1967,1,0,61655,4316
1240,Le Samourai,1967,1,0,62229,4146
1241,La collectionneuse,1967,1,0,61495,4479
1242,Playtime,1967,3,0,62136,4519
1243,"Fox, The",1967,3,0,62990,4722
1244,Asterix the Gaul (Asterix le Gaulois),1967,0,0,61369,4937
1245,Woman Times Seven,1967,3,0,62502,5171
1246,Guess Who&#39;s Coming to Dinner,1967,3,1,61735,5222
1247,Smashing Time,1967,3,0,62281,5384
1248,Son of Godzilla,1967,0,0,61856,6374
1249,Uchu daikaiju Girara,1967,3,0,62411,6714
1250,Daikaiju kuchusen: Gamera tai Gyaosu,1967,0,0,61695,6744
1251,Koroshi no rakuin [Branded to Kill],1967,1,0,61882,7242
1252,Peppermint Frappe,1967,1,0,62113,7513
1253,"Young Girls of Rochefort, The",1967,3,0,62873,7586
1254,Barefoot in the Park,1967,3,0,61385,7943
1255,A Time for Killing,1967,0,0,62373,8633
1256,A Countess from Hong Kong,1967,3,0,61523,9078
1257,Accident,1967,1,0,61328,9124
1258,God Forgives... I Don&#39;t!,1967,0,0,61576,9555
1259,"Django Kill... If You Live, Shoot!",1967,0,0,62082,9709
1260,Taiyo no oji: Horusu no daiboken,1968,0,,63668,323
1261,Planet of the Apes,1968,1,0,63442,599
1262,Charly,1968,2,0,62794,764
1263,"Producers, The",1968,0,0,63462,844
1264,Rosemary&#39;s Baby,1968,3,0,63522,857
1265,2001: A Space Odyssey,1968,0,0,62622,919
1266,Where Eagles Dare,1968,3,0,65207,1185
1267,Romeo and Juliet,1968,3,0,63518,1249
1268,Yellow Submarine,1968,0,0,63823,1815
1269,Star!,1968,3,0,63642,2092
1270,Hellfighters,1968,2,0,63060,2104
1271,Barbarella,1968,3,0,62711,2157
1272,Once Upon a Time in the West,1968,1,0,64116,2226
1273,"Party, The",1968,3,0,63415,2652
1274,"Lion in Winter, The",1968,3,0,63227,2749
1275,If....,1968,1,0,63850,2757
1276,Head,1968,0,0,63049,2925
1277,Hang &#39;Em High,1968,2,0,61747,2969
1278,Night of the Living Dead,1968,3,0,63350,3499
1279,Carry On... Up the Khyber,1968,3,1,62782,3626
1280,Up the Junction,1968,3,0,62426,3826
1281,"Bride Wore Black, The",1968,3,0,61955,3878
1282,Asterix et Cleopatre,1968,0,0,62687,3947
1283,Funny Girl,1968,3,0,62994,4045
1284,"Killing of Sister George, The",1968,3,0,63185,5385
1285,Hour of the Wolf,1968,1,0,63759,5878
1286,Destroy All Monsters,1968,0,0,63172,6394
1287,Il giorno della civetta,1968,0,0,63010,6452
1288,Gamera vs. Viras,1968,2,0,63000,6807
1289,Bullitt,1968,1,0,62765,7123
1290,Reconstruction,1968,0,0,63493,7673
1291,Ice Station Zebra,1968,0,0,63121,7986
1292,Dracula Has Risen from the Grave,1968,2,1,62909,8289
1293,"Boys of Paul Street, The",1968,0,0,62164,8542
1294,Egri csillagok,1968,1,0,62925,8543
1295,"Cat Has Nine Lives, The",1968,3,1,130141,8686
1296,"Wrecking Crew, The",1968,3,0,65225,8827
1297,Chitty Chitty Bang Bang,1968,3,0,62803,9547
1298,"Today We Kill, Tomorrow We Die!",1968,0,0,63379,9556
1299,Oliver!,1968,2,0,63385,9595
1300,"Valley of Death, The",1968,0,0,63818,9693
1301,"Django, Prepare a Coffin",1968,0,0,62151,9707
1302,"Rape of the Vampire, The",1968,3,0,62446,9764
1303,Women in Love,1969,3,0,66579,1426
1304,"Honeymoon Killers, The",1969,3,0,64437,1182
1305,Support Your Local Sheriff!,1969,1,0,65051,1100
1306,My Side of the Mountain,1969,1,0,64708,1783
1307,Paint Your Wagon,1969,2,0,64782,1817
1308,Butch Cassidy and the Sundance Kid,1969,1,0,64115,2077
1309,Easy Rider,1969,1,0,64276,2079
1310,"Computer Wore Tennis Shoes, The",1969,1,0,65566,2091
1311,Downhill Racer,1969,0,0,64253,2283
1312,"Prime of Miss Jean Brodie, The",1969,3,0,64840,2456
1313,"Italian Job, The",1969,1,0,64505,2583
1314,Chastity,1969,0,0,64156,2586
1315,Kes,1969,1,0,64541,2722
1316,True Grit,1969,3,0,65126,2902
1317,Alice&#39;s Restaurant,1969,1,0,64002,2899
1318,Midnight Cowboy,1969,1,0,64665,3406
1319,Mississippi Mermaid,1969,3,0,64990,3880
1320,Army of Shadows,1969,0,0,64040,4350
1321,On Her Majesty&#39;s Secret Service,1969,2,0,64757,4669
1322,"Hello, Dolly!",1969,3,0,64418,4755
1323,"Godzilla&#39;s Revenge (Godzilla, Minira, Gabara: All Monsters Attack)",1969,0,0,64373,6396
1324,"They Shoot Horses, Don&#39;t They?",1969,1,1,65088,6794
1325,Age of Consent,1969,3,0,63991,6816
1326,Take the Money and Run,1969,1,0,65063,7288
1327,Z,1969,1,0,65234,7521
1328,My Night at Maud&#39;s,1969,3,0,64612,7924
1329,"Passion of Anna, The",1969,1,1,64793,8266
1330,"Swimming Pool, The",1969,3,0,64816,9202
1331,Django the Bastard,1969,0,0,64240,9708
1332,Marquis de Sade&#39;s Justine,1969,3,0,62870,9762
1333,Le Cercle Rouge,1970,0,,65531,255
1334,Beyond the Valley of the Dolls,1970,3,0,65466,583
1335,"AristoCats, The",1970,3,0,65421,1122
1336,Santa Clause is Comin&#39; to Town,1970,1,0,66327,1726
1337,"Phantom Tollbooth, The",1970,1,0,64806,1932
1338,Two Mules for Sister Sara,1970,3,0,65134,2428
1339,Deep End,1970,1,0,66122,2571
1340,"Vampire Lovers, The",1970,3,0,66518,2602
1341,Bambule,1970,3,0,65449,2634
1342,Five Easy Pieces,1970,3,0,65724,2984
1343,Love Story,1970,1,0,66011,3302
1344,Carry It On,1970,3,0,188484,3514
1345,Les novices,1970,3,0,66164,3537
1346,"Boys in the Band, The",1970,0,0,65488,3681
1347,Scars of Dracula,1970,1,0,67713,4201
1348,Taste the Blood of Dracula,1970,3,0,65073,4237
1349,House of Dark Shadows,1970,2,1,65856,4340
1350,Airport,1970,3,0,65377,4801
1351,"Music Lovers, The",1970,1,0,66109,5484
1352,"Conformist, The",1970,3,0,65571,5512
1353,Darling Lili,1970,3,1,65611,6274
1354,Colossus: The Forbin Project,1970,0,0,64177,6605
1355,"Nachts, wenn Dracula erwacht",1970,1,0,65569,7057
1356,Dodes&#39;ka-den,1970,3,0,65649,7169
1357,Tristana,1970,2,1,66491,7559
1358,Donkey Skin,1970,3,0,66207,7599
1359,Little Big Man,1970,1,0,65988,7753
1360,Waterloo,1970,0,0,66549,7907
1361,Claire&#39;s Knee,1970,3,0,65772,7923
1362,Tora! Tora! Tora!,1970,1,0,66473,8322
1363,"Things of Life, The",1970,1,0,64165,8429
1364,Catch-22,1970,3,0,65528,8774
1365,"Railway Children, The",1970,3,0,66279,9048
1366,Wanda,1970,3,1,67961,9082
1367,They Call Me Trinity,1970,2,0,67355,9380
1368,Pippi in the South Seas,1970,3,0,66227,9386
1369,Rio Lobo,1970,1,0,66301,9578
1370,Patton,1970,1,0,66206,9594
1371,Italian Stallion,1970,3,0,65904,9828
1372,Le Boucher,1970,1,0,64106,9994
1373,Walkabout,1971,1,,67959,239
1374,Willy Wonka &amp; the Chocolate Factory,1971,2,,67992,304
1375,THX 1138,1971,0,0,66434,626
1376,A Clockwork Orange,1971,1,0,66921,1039
1377,"Million Dollar Duck, The",1971,1,0,66728,1123
1378,Taking Off,1971,3,0,67820,1457
1379,Here Comes Peter Cotton Tail,1971,1,0,249577,1727
1380,Bedknobs and Broomsticks,1971,3,0,66817,1770
1381,And Now for Something Completely Different,1971,1,0,66765,1837
1382,Harold and Maude,1971,3,0,67185,2159
1383,"Last Picture Show, The",1971,2,0,67328,2286
1384,Straw Dogs,1971,1,0,67800,2620
1385,Shaft,1971,1,0,67741,2751
1386,Escape from the Planet of the Apes,1971,1,1,67065,2893
1387,Sweet Sweetback&#39;s Baadasssss Song,1971,1,0,67810,3039
1388,Mrs. Pollifax - Spy,1971,3,1,67451,3139
1389,"Trojan Women, The",1971,3,0,67881,3194
1390,Mon oncle Antoine,1971,3,0,67439,3218
1391,Play Misty for Me,1971,3,0,67588,3252
1392,Frenchie King,1971,3,0,67637,3476
1393,"Mary, Queen of Scots",1971,3,0,67402,3502
1394,Lust for a Vampire,1971,3,0,67367,4327
1395,Let&#39;s Scare Jessica to Death,1971,3,0,67341,4066
1396,"French Connection, The",1971,1,0,67116,4232
1397,Bananas,1971,1,0,66808,5312
1398,McCabe &amp; Mrs. Miller,1971,3,0,67411,5313
1399,"Lady Hermit, The",1971,3,0,67322,5344
1400,Death in Venice,1971,0,0,67445,5375
1401,Diamonds Are Forever,1971,1,0,66995,5390
1402,Lulu the Tool,1971,1,0,66919,6243
1403,Duel,1971,0,0,67023,6351
1404,Godzilla vs. the Smog Monster (Godzilla vs. Hedorah),1971,3,1,67148,6408
1405,Wake in Fright,1971,1,0,67541,6763
1406,Klute,1971,3,0,67309,6804
1407,"House That Dripped Blood, The",1971,3,0,65854,7067
1408,"Devils, The",1971,3,0,66993,7158
1409,Nicholas and Alexandra,1971,3,1,67483,7189
1410,Vampyros Lesbos,1971,3,0,66380,7387
1411,Get Carter,1971,1,0,67128,7518
1412,Bello onesto emigrato Australia sposerebbe compaesana illibata,1971,2,0,66824,7574
1413,10 Rillington Place,1971,1,0,66730,7698
1414,Macbeth,1971,1,0,67372,8265
1415,Werewolves on Wheels,1971,1,0,67972,8506
1416,Hannie Caulder,1971,0,0,68675,8508
1417,"Emigrants, The",1971,3,0,67919,8641
1418,Punishment Park,1971,3,0,67633,8844
1419,Daughters of Darkness,1971,3,1,67690,8874
1420,A New Leaf,1971,3,0,67482,9123
1421,Vanishing Point,1971,0,0,67927,9228
1422,Melody,1971,2,0,67418,9299
1423,Anand,1971,2,0,66763,9324
1424,Trinity Is Still My Name,1971,1,0,68154,9557
1425,Johnny Got His Gun,1971,1,0,67277,9591
1426,"Andromeda Strain, The",1971,3,1,66769,9680
1427,Solyaris,1972,1,0,69293,679
1428,Pink Flamingos,1972,3,0,69089,708
1429,Une belle fille comme moi,1972,3,0,69442,1176
1430,"Other Side of Underneath, The",1972,3,0,201820,1462
1431,Chloe in the Afternoon,1972,2,0,68205,1636
1432,Cries and Whispers (Viskningar och rop),1972,3,0,69467,2031
1433,When Michael Calls,1972,2,0,67977,2087
1434,"Godfather, The",1972,2,0,68646,2224
1435,Avanti!,1972,3,0,68240,2391
1436,Aguirre: The Wrath of God,1972,2,0,68182,2674
1437,Don&#39;t Torture a Duckling,1972,2,0,69019,2803
1438,Deliverance,1972,1,0,68473,3395
1439,Jeremiah Johnson,1972,1,0,68762,2924
1440,1776,1972,1,0,68156,2986
1441,Travels With My Aunt,1972,3,0,69404,3132
1442,Butterflies Are Free,1972,3,0,68326,3274
1443,"Dawns Here are Quiet, The",1972,3,0,68161,3408
1444,What&#39;s up Doc,1972,2,0,69495,4149
1445,Cabaret,1972,3,0,68327,4186
1446,Last Tango in Paris,1972,3,1,70849,4516
1447,"Poseidon Adventure, The",1972,1,0,69113,4916
1448,"Silent Night, Bloody Night",1972,3,0,70694,4981
1449,Sleuth,1972,0,0,69281,5314
1450,Prison Girls,1972,3,0,244730,6022
1451,"Mattei Affair (Il caso Mattei), The",1972,0,0,68346,6085
1452,"L&#39;aventure, c&#39;est l&#39;aventure",1972,0,0,66798,6140
1453,Sbatti il mostro in prima pagina,1972,1,0,70641,6244
1454,Godzilla vs. Gigan,1972,1,0,68371,6417
1455,Wedding in White,1972,3,0,69489,6500
1456,Deep Throat,1972,3,0,68468,6811
1457,"Bitter Tears of Petra von Kant , The",1972,3,0,68278,6822
1458,Blacula,1972,3,0,68284,7019
1459,"Last House on the Left, The",1972,3,0,68833,7186
1460,Frenzy,1972,3,0,68611,7434
1461,State of Siege,1972,0,0,70959,7544
1462,"Discreet Charm of the Bourgeoisie, The",1972,3,0,68361,7964
1463,Lady Sings the Blues,1972,3,0,68828,9183
1464,Lone Wolf and Cub: Sword of Vengeance,1972,0,0,68815,9381
1465,Lone Wolf and Cub: Baby Cart at the River Styx,1972,2,0,68816,9382
1466,Lone Wolf and Cub: Baby Cart in Peril,1972,0,0,143348,9383
1467,Lone Wolf and Cub: Baby Cart to Hades,1972,0,0,68817,9384
1468,Sisters,1972,3,0,70698,9454
1469,"Hitchhikers, The",1972,3,0,67206,9736
1470,"Big Bird Cage, The",1972,3,0,68273,9747
1471,All the Way Boys,1972,0,0,69095,9774
1472,Ivan Vasilevich menyaet professiyu,1973,1,,70233,257
1473,Badlands,1973,0,,69762,269
1474,Don&#39;t look now,1973,3,0,69995,722
1475,"Exorcist, The",1973,3,0,70047,751
1476,"Wicker Man, The",1973,3,0,70917,939
1477,"Mad Adventures of &#39;Rabbi&#39; Jacob, The",1973,2,0,69747,1550
1478,"Black Mama, White Mama",1973,3,0,68282,1281
1479,"Spirit of the Beehive, The",1973,3,0,70040,1768
1480,"Sting, The",1973,1,0,70735,2316
1481,A Touch of Class,1973,2,0,70819,2444
1482,Sleeper,1973,1,0,70707,2447
1483,Lemora: A Child&#39;s Tale Of The Supernatural,1973,3,0,70300,2682
1484,Serpico,1973,1,0,70666,2769
1485,Soylent Green,1973,1,0,70723,2816
1486,"Holy Mountain, The",1973,1,0,71615,2848
1487,Papillon,1973,0,0,70511,3433
1488,Paper Moon,1973,3,0,70510,3446
1489,Jesus Christ Superstar,1973,0,0,70239,3688
1490,American Graffiti,1973,2,0,69704,4610
1491,Robin Hood,1973,3,0,70608,4667
1492,"Legend of Hell House, The",1973,3,0,70294,4882
1493,High Plains Drifter,1973,1,0,68699,5127
1494,Payday,1973,2,0,69067,5187
1495,Mean Streets,1973,1,0,70379,5315
1496,Live and Let Die,1973,1,0,70328,5393
1497,Don Juan (Or If Don Juan Were a Woman),1973,3,0,69990,5439
1498,Day for Night,1973,3,0,70460,5996
1499,A Charlie Brown Thanksgiving,1973,2,0,68359,6078
1500,Children Shouldn&#39;t Play with Dead Things,1973,3,0,68370,6079
1501,Godzilla vs. Megalon,1973,0,0,70122,6484
1502,Lady Snowblood,1973,3,0,158714,6733
1503,"Baby, The",1973,3,0,69754,6815
1504,Turkish Delight,1973,3,0,70842,7020
1505,El ataque de los muertos sin ojos [Return of the Evil Dead],1973,3,0,68232,7406
1506,"Crazies, The",1973,3,0,69895,7593
1507,A Doll&#39;s House,1973,3,1,69987,7603
1508,World on a Wire,1973,2,0,70904,7867
1509,"Satanic Rites of Dracula, The",1973,1,0,70634,8320
1510,Pat Garrett &amp; Billy the Kid,1973,1,0,70518,8828
1511,Terminal Island,1973,3,0,70782,8842
1512,Enter the Dragon,1973,1,0,70034,8926
1513,"Offence, The",1973,0,0,70468,9166
1514,Fantastic Planet,1973,0,0,70544,9298
1515,"Knock Out Cop, The",1973,0,0,70534,9558
1516,&#39;Gator Bait,1973,0,0,74080,9738
1517,Female Vampire,1973,3,0,69745,9760
1518,La nuit des etoiles filantes,1973,3,0,66914,9761
1519,La rose de fer,1973,0,0,126004,9763
1520,My Name Is Nobody,1973,0,0,70215,9777
1521,"Three Musketeers, The",1973,2,0,72281,9824
1522,Les noces rouges,1973,3,0,70453,9995
1523,Celine and Julie Go Boating,1974,3,,71381,264
1524,Blazing Saddles,1974,1,0,71230,845
1525,Young Frankenstein,1974,2,0,72431,1077
1526,Zardoz,1974,2,0,70948,1673
1527,Dark Star,1974,0,0,69945,1814
1528,"Odessa File, The",1974,3,1,71935,2025
1529,Alice Doesn&#39;t Live Here Anymore,1974,3,0,71115,2214
1530,Chinatown,1974,2,0,71315,2237
1531,"Groove Tube, The",1974,1,0,71583,2399
1532,"Texas Chain Saw Massacre, The",1974,1,0,72271,2814
1533,Mame,1974,3,0,71803,3236
1534,Black Christmas,1974,3,0,71222,3770
1535,"Godfather: Part II, The",1974,2,0,71562,3896
1536,"Conversation, The",1974,1,0,71360,3985
1537,"Towering Inferno, The",1974,1,0,72308,4520
1538,Edvard Munch,1974,1,0,74462,4901
1539,Ali: Fear Eats the Soul,1974,3,0,71141,5118
1540,"Man with the Golden Gun, The",1974,1,0,71807,5434
1541,Death Wish,1974,3,0,71402,5531
1542,Phantom of the Paradise,1974,0,0,71994,5781
1543,Female Trouble,1974,3,0,72979,5843
1544,"Parallax View, The",1974,0,0,71970,5999
1545,Foxy Brown,1974,3,0,71517,6175
1546,Truck Turner,1974,3,0,72325,6465
1547,Godzilla vs. Mechagodzilla,1974,1,0,71565,6480
1548,Brief Encounter,1974,3,0,71247,6535
1549,Going Places,1974,2,0,72353,6758
1550,Emmanuelle,1974,3,0,71464,7003
1551,A Woman Under The Influence,1974,3,0,72417,7076
1552,"Legend of the 7 Golden Vampires, The",1974,1,0,70297,7077
1553,"Je, tu, il, elle",1974,3,1,71690,7249
1554,Non si deve profanare il sonno dei morti [The Living Dead at Manchester Morgue],1974,2,0,71431,7338
1555,Dracula,1974,3,0,70003,8140
1556,Vampyres,1974,3,0,72354,8355
1557,"Sugarland Express, The",1974,2,0,72226,8551
1558,Airport 1975,1974,3,0,71110,9046
1559,Killdozer,1974,0,0,71717,9154
1560,Kozure Okami: Jigoku e ikuzo! Daigoro,1974,0,0,71695,9385
1561,"Arena, The",1974,3,0,69729,9748
1562,"Watch Out, We&#39;re Mad",1974,0,0,69697,9778
1563,Blood for dracula,1974,3,0,71233,10128
1564,Picnic at Hanging Rock,1975,3,,73540,230
1565,"Stepford Wives, The",1975,3,,73747,293
1566,Three Days of the Condor,1975,1,,73802,337
1567,"Ironiya sudby, ili S legkim parom!",1975,2,0,73179,529
1568,Grey Gardens,1975,3,0,73076,564
1569,Tommy,1975,1,0,73812,850
1570,One Flew Over the Cuckoo&#39;s Nest,1975,2,1,73486,1321
1571,"Rocky Horror Picture Show, The",1975,3,1,73629,1228
1572,Fawlty Towers,1975,3,0,72500,1737
1573,Dersu Uzala,1975,0,0,71411,1807
1574,Monty Python and the Holy Grail,1975,2,1,71853,1839
1575,Barry Lyndon,1975,1,0,72684,2317
1576,Jaws,1975,3,0,73195,2561
1577,Dialogues of Exiles,1975,3,0,71427,2760
1578,"Maids, The",1975,3,0,71798,2831
1579,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",1975,3,0,73198,3368
1580,"Mirror, The",1975,3,1,72443,3668
1581,Dog Day Afternoon,1975,3,1,72890,3799
1582,"Story of O, The",1975,3,0,73115,4284
1583,Nashville,1975,3,0,73440,4517
1584,Dolemite,1975,0,0,72895,5798
1585,Zorro,1975,1,0,72448,5963
1586,Terror of Mechagodzilla,1975,1,0,73373,6564
1587,A boy and His Dog,1975,0,0,72730,6654
1588,Switchblade Sisters,1975,3,0,73778,6799
1589,Blonde in Black Leather,1975,3,0,73598,6900
1590,Emmanuelle II,1975,3,0,72933,7008
1591,Deep Red,1975,3,0,73582,7170
1592,"Sal&ograve; o le 120 giornate di Sodoma [Salo, or the 120 Days of Sodom]",1975,3,0,73650,7238
1593,Katie Tippel,1975,3,0,73233,7252
1594,Love and Death,1975,3,0,73312,7318
1595,Inserts,1975,1,0,73172,8958
1596,Death Race 2000,1975,3,0,72856,9160
1597,Numero deux,1975,3,1,73471,9217
1598,Flatfoot in Hong Kong,1975,1,0,73541,9559
1599,Mandingo,1975,2,0,73349,9730
1600,"Count of Monte-Cristo, The",1975,1,0,72824,9823
1601,Assault on Precinct 13,1976,3,,74156,219
1602,Carrie,1976,3,0,74285,457
1603,"Outlaw Josey Wales, The",1976,2,0,75029,967
1604,"Man Who Fell to Earth, The",1976,1,0,74851,1423
1605,"Omen, The",1976,3,0,75005,1287
1606,Logan&#39;s Run,1976,2,0,74812,1393
1607,Network,1976,3,0,74958,1401
1608,Taxi Driver,1976,1,0,75314,2223
1609,Rocky,1976,1,0,75148,2267
1610,Silent Movie,1976,1,0,75222,2367
1611,Les Douze Travaux d&#146;Ast&eacute;rix (the Twelve Tasks of Asterix),1976,1,0,72901,2530
1612,Bugsy Malone,1976,3,0,74256,2640
1613,Sparkle,1976,3,0,75249,2672
1614,Revenge Of The Cheerleaders,1976,1,0,75137,2683
1615,Murder by Death,1976,3,0,74937,2949
1616,Sebastiane,1976,1,0,75177,2974
1617,In the Realm of the Senses,1976,3,0,74102,3190
1618,Marathon Man,1976,1,0,74860,3417
1619,A Star Is Born,1976,0,0,75265,3722
1620,Small Change,1976,3,0,74152,3879
1621,"Little Girl Who Lives Down the Lane, The",1976,3,0,74806,4185
1622,Il secondo tragico Fantozzi,1976,1,0,75178,4612
1623,Family Plot,1976,3,0,74512,4615
1624,Silver Streak,1976,1,0,75223,5706
1625,"Desert of the Tartars, The",1976,0,0,74400,6505
1626,All the President&#39;s Men,1976,1,0,74119,7183
1627,Pascual Duarte,1976,1,0,73518,7405
1628,"Town That Dreaded Sundown, The",1976,1,0,75342,8161
1629,"Tenant, The",1976,1,0,74811,8271
1630,Az otodik pecset,1976,1,0,75467,8541
1631,"Gumball Rally, The",1976,3,0,74597,8628
1632,Two-Minute Warning,1976,1,0,75359,9152
1633,Allegro non troppo,1976,0,1,74121,9297
1634,Keoma,1976,1,1,74740,9387
1635,Canoa: A Shameful Memory,1976,0,0,131335,9644
1636,Drum,1976,2,0,74437,9731
1637,Mandinga,1976,1,0,74855,9732
1638,Emmanuelle bianca e nera,1976,2,0,74471,9733
1639,Star Wars,1977,1,0,76759,669
1640,Sluzhebnyy roman,1977,3,0,76727,688
1641,"Turning Point, The",1977,3,0,76843,693
1642,Julia,1977,3,0,76245,862
1643,Saturday Night Fever,1977,1,1,76666,911
